Part/Size:Vector3:200, 0.4000000059604645, 200/Position:Vector3:0, 5.200000762939453, 0/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Base/Orientation:Vector3:0, 0, 0/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:8, 1.2000000476837158, 8/Position:Vector3:34, 33.60000228881836, 26/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, 90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:3, 1.2000000476837158, 22/Position:Vector3:40, 34.79999923706055, 20.5/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, 90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:22, 1.2000000476837158, 22/Position:Vector3:40, 22.80000114440918, 30/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, -90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:31, 16.80000114440918, 31/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:41, 16.80000114440918, 31/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:41, 28.80000114440918, 31/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:31, 16.80000114440918, 21/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:71, 28.80000114440918, 21/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:8, 1.2000000476837158, 3/Position:Vector3:50.5, 25.200000762939453, 26/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, 90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:8, 1.2000000476837158, 3/Position:Vector3:52.5, 24, 26/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, 90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:10, 1.2000000476837158, 22/Position:Vector3:62, 34.79999923706055, 24/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, 90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:51, 16.80000114440918, 31/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:41, 16.80000114440918, 21/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:51, 16.799999237060547, 21/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:61, 16.799999237060547, 21/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:51, 28.80000114440918, 31/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:71, 16.799999237060547, 21/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:22, 1.2000000476837158, 22/Position:Vector3:62, 22.80000114440918, 30/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, -90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:61, 16.80000114440918, 31/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:61, 28.80000114440918, 31/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:71, 16.80000114440918, 31/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:71, 28.80000114440918, 31/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:31, 16.80000114440918, 41/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:41, 16.80000114440918, 41/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:51, 16.80000114440918, 41/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:31, 28.799999237060547, 41/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:41, 28.799999237060547, 41/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:22, 1.2000000476837158, 22/Position:Vector3:40, 34.79999923706055, 40/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, 90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:61, 16.80000114440918, 41/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:51, 28.80000114440918, 41/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:61, 28.80000114440918, 41/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:22, 1.2000000476837158, 22/Position:Vector3:62, 34.79999923706055, 40/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, 90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:71, 16.80000114440918, 41/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:71, 28.80000114440918, 41/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:1, 3.6000001430511475, 52/Position:Vector3:29.5, 37.19999694824219, 46/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:1, 3.6000001430511475, 52/Position:Vector3:72.5, 37.19999694824219, 46/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:31, 16.80000114440918, 51/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:41, 16.80000114440918, 51/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:51, 16.80000114440918, 51/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:61, 16.80000114440918, 51/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:71, 16.80000114440918, 51/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:31, 28.80000114440918, 51/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:41, 28.80000114440918, 51/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:51, 28.80000114440918, 51/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:61, 28.80000114440918, 51/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:71, 28.80000114440918, 51/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:22, 1.2000000476837158, 22/Position:Vector3:40, 22.799999237060547, 52/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, -90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:22, 1.2000000476837158, 22/Position:Vector3:62.000003814697266, 22.80000114440918, 52/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, -90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:61, 16.80000114440918, 61/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:71, 16.80000114440918, 61/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:51, 28.80000114440918, 61/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:61, 28.80000114440918, 61/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:71, 28.80000114440918, 61/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:22, 1.2000000476837158, 22/Position:Vector3:62, 34.79999923706055, 62/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, 90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:51, 16.80000114440918, 61/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:41, 16.80000114440918, 61/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:41, 28.80000114440918, 61/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:22, 1.2000000476837158, 22/Position:Vector3:40, 34.79999923706055, 62/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, 90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:31, 16.80000114440918, 61/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:31, 28.799999237060547, 61/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 1.2000000476837158, 7/Position:Vector3:72, 22.800006866455078, 66.5/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:8, 1.2000000476837158, 8/Position:Vector3:68, 21.600006103515625, 66/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, -90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:8, 1.2000000476837158, 3/Position:Vector3:63.500003814697266, 20.400005340576172, 66/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, -90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:8, 1.2000000476837158, 3/Position:Vector3:61.5, 19.20000457763672, 66/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, -90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:8, 1.2000000476837158, 3/Position:Vector3:59.5, 18.000003814697266, 66/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, -90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:8, 1.2000000476837158, 3/Position:Vector3:57.5, 16.800003051757812, 66/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, -90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:8, 1.2000000476837158, 3/Position:Vector3:55.5, 15.600003242492676, 66/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, -90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:8, 1.2000000476837158, 3/Position:Vector3:53.5, 14.400002479553223, 66/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, -90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:8, 1.2000000476837158, 3/Position:Vector3:51.5, 13.20000171661377, 66/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, -90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:71, 28.799999237060547, 71/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:3, 1.2000000476837158, 22/Position:Vector3:62, 22.799999237060547, 71.5/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, -90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:10, 1.2000000476837158, 22/Position:Vector3:40, 22.80000114440918, 68/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, -90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:51, 16.80000114440918, 71/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:61, 16.80000114440918, 71/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:71, 16.80000114440918, 71/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:51, 28.799999237060547, 71/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:61, 28.799999237060547, 71/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:1, 3.6000001430511475, 44/Position:Vector3:51, 37.19999694824219, 72.5/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:41, 16.80000114440918, 71/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:41, 28.799999237060547, 71/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:31, 28.799999237060547, 71/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 0, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.800000190734863, 2/Position:Vector3:31, 16.80000114440918, 71/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:8, 1.2000000476837158, 3/Position:Vector3:49.5, 12.000000953674316, 66/Color:Color3:0.411765, 0.25098, 0.156863/Name:string:Smooth Block Model/Orientation:Vector3:0, -90, 0/Anchored:boolean:false/CanCollide:boolean:true/
Part/Size:Vector3:24, 1.2000000476837158, 42/Position:Vector3:-59, 6, 88/Color:Color3:0.768627, 0.156863, 0.109804/Name:string:Smooth Block Model/Orientation:Vector3:0, -90, 0/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:24, 3.6000001430511475, 24/Position:Vector3:-26, 7.200000762939453, 88/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, -90, 0/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:24, 1.2000000476837158, 42/Position:Vector3:-59, 7.200000286102295, 88/Color:Color3:0.768627, 0.156863, 0.109804/Name:string:Smooth Block Model/Orientation:Vector3:0, -90, 0/Anchored:boolean:true/CanCollide:boolean:false/
Part/Size:Vector3:24, 3.6000001430511475, 20/Position:Vector3:-90, 7.200000762939453, 88/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, -90, 0/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:60, 2.4000000953674316, 60/Position:Vector3:48.000003814697266, 10.200000762939453, 43.999996185302734/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:120, 3.6000001430511475, 30/Position:Vector3:43, 7.200000762939453, 40/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, -90, 0/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:76, 3.6000001430511475, 42/Position:Vector3:-35, 7.200000762939453, 38/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, -90, 0/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:100, 1.2000000476837158, 42/Position:Vector3:-77, 7.200000286102295, 26/Color:Color3:0.768627, 0.156863, 0.109804/Name:string:Smooth Block Model/Orientation:Vector3:0, -90, 0/Anchored:boolean:true/CanCollide:boolean:false/
Part/Size:Vector3:100, 1.2000000476837158, 42/Position:Vector3:-77, 6, 26/Color:Color3:0.768627, 0.156863, 0.109804/Name:string:Smooth Block Model/Orientation:Vector3:0, -90, 0/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:100, 3.6000001430511475, 2/Position:Vector3:-99, 7.200000762939453, 26/Color:Color3:0.0862745, 0.113725, 0.196078/Name:string:Smooth Block Model/Orientation:Vector3:0, -90, 0/Anchored:boolean:true/CanCollide:boolean:true/
